blocked mm cycles/iteration (for varying matrix sizes)
  n  b    ijk    ikj
 50  50  1.49  0.53 
100  50  1.38  0.41 
150  50  1.00  0.36 
200  50  1.01  0.37 
250  50  1.01  0.36 
300  50  1.01  0.37 
350  50  1.03  0.37 
400  50  1.02  0.37 
450  50  1.04  0.37 
500  50  1.02  0.38 
550  50  1.03  0.37 
600  50  1.03  0.38 
650  50  1.03  0.38 
700  50  1.03  0.39 

blocked mm cycles/iteration (for varying block sizes)
  n  b    ijk    ikj
700  50  1.03  0.39 
700 100  1.30  0.42 
700 150  1.34  0.44 
700 200  1.37  0.44 
700 250  1.41  0.43 
700 300  1.39  0.44 
700 350  1.44  0.43 
700 400  1.42  0.42 
700 450  1.43  0.42 
700 500  1.43  0.43 
700 550  1.44  0.43 
700 600  1.47  0.45 
700 650  1.52  0.49 
700 700  1.71  0.54 
