matmult cycles/loop iteration
  n   jki   kji   ijk   jik   kij   ikj
 50  1.28  1.27  1.35  1.42  0.53  0.51 
100  1.25  1.07  1.12  1.09  0.35  0.36 
150  1.08  1.08  1.28  1.28  0.41  0.42 
200  1.07  1.07  1.36  1.37  0.43  0.40 
250  1.13  1.09  1.34  1.36  0.42  0.40 
300  1.30  1.19  1.38  1.52  0.43  0.40 
350  1.56  1.62  1.49  1.41  0.42  0.40 
400  1.57  1.58  1.41  1.45  0.42  0.43 
450  1.58  1.58  1.41  1.45  0.43  0.40 
500  1.63  1.61  1.43  1.47  0.45  0.40 
550  1.64  1.59  1.46  1.48  0.47  0.42 
600  1.73  1.66  1.46  1.48  0.51  0.45 
650  1.80  1.78  1.51  1.51  0.56  0.49 
700  2.21  2.14  1.61  1.52  0.58  0.54 
